SID,Nombre,Latitud,Longitud,Elevacion,geometry
18,Quebrada Tar. Sibaya,-19.7831,-69.1433,2828.0,POINT (-69.1433 -19.7831)
376,Pascua ante Jta. Quetru,-48.1592,-73.0889,20.0,POINT (-73.0889 -48.1592)
704,Codegua Norte Ex Rancagua,-34.108888889,-70.639583333,529.0,POINT (-70.639583333 -34.108888889)
689,SAN FERNANDO,-34.577833333,-70.975527778,341.0,POINT (-70.975527778 -34.577833333)
615,Calle Larga,-32.870555556,-70.64611111100001,774.0,POINT (-70.64611111100001 -32.870555556)
714,Marchigue,-34.405555555999996,-71.607222222,138.0,POINT (-71.607222222 -34.405555556)
834,Tranque Lautaro,-27.975583333000003,-70.0,1131.0,POINT (-70 -27.975583333)
302,Cautín en Rariruca,-38.4303,-72.0106,419.0,POINT (-72.0106 -38.4303)
412,Cerro Mirador,-53.1842,-71.0833,586.0,POINT (-71.08329999999999 -53.1842)
669,LO HERRERA,-33.662888889,-70.765916667,505.0,POINT (-70.765916667 -33.662888889)
584,Nogales,-32.736388889000004,-71.199166667,227.0,POINT (-71.199166667 -32.736388889)
378,Glaciar Tempano,-48.835555555555565,-74.18305555555554,21.0,POINT (-74.18305555555554 -48.83555555555557)
690,El Carmen,-34.608055556,-70.975,361.0,POINT (-70.97499999999999 -34.608055556)
295,Estero Plegarias antes de Jta Río Curanilahue,-37.4878,-73.3442,140.0,POINT (-73.3442 -37.4878)
863,Teno,-34.878888889,-71.165277778,294.0,POINT (-71.165277778 -34.878888889)
31,Salado Embalse,-22.2856,-68.2028,3166.0,POINT (-68.2028 -22.2856)
816,Azapa1,-18.509638889,-70.24805555399999,142.0,POINT (-70.24805555399999 -18.509638889)
317,Toltén T Schmidt,-39.0144,-73.0828,20.0,POINT (-73.08280000000001 -39.0144)
182,Teno después de Junta,-34.9961,-70.8206,653.0,POINT (-70.8206 -34.9961)
681,Mostazal,-34.001666666999995,-70.701666667,495.0,POINT (-70.701666667 -34.00166666699999)
16,Río Camarones en Chilpe,-18.9431,-69.6197,1545.0,POINT (-69.61969999999999 -18.9431)
365,Cochrane en Cochrane,-47.2517,-72.5644,144.0,POINT (-72.56440000000001 -47.2517)
810,Azapa2,-18.520444444000002,-70.232666667,216.0,POINT (-70.232666667 -18.520444444)
399,Puerto Natales,-51.7336,-72.4781,48.0,POINT (-72.4781 -51.7336)
135,Río Molina antes Junta San Francisco,-33.3733,-70.3961,1144.0,POINT (-70.3961 -33.3733)
943,Estero Quilque en los Angeles,-37.4561,-72.3272,143.0,POINT (-72.3272 -37.4561)
705,San Vicente TT,-34.457777778,-71.050555556,223.0,POINT (-71.05055555600001 -34.457777778)
411,Punta Arenas,-53.1233,-70.8772,6.0,POINT (-70.8772 -53.1233)
267,Río Biobio en Longitudinal,-37.6019,-72.2783,132.0,POINT (-72.2783 -37.6019)
20,Loa ant. R. Lequena,-21.6558,-68.6622,3314.0,POINT (-68.6622 -21.6558)
145,Mapocho Rinconada  de Maipu,-33.4961,-70.8167,450.0,POINT (-70.8167 -33.4961)
375,Glaciar O,-48.93055555555554,-73.13555555555557,286.0,POINT (-73.13555555555557 -48.93055555555554)
887,Los Despachos,-36.062114,-72.371438833,169.0,POINT (-72.371438833 -36.062114)
884,Cauquenes,-35.955973,-72.289938,167.0,POINT (-72.28993800000001 -35.955973)
850,Tres Esquinas,-35.144722222,-71.216111111,316.0,POINT (-71.216111111 -35.144722222)
364,Río Nef antes Junta Estero el Revalse,-47.1378,-73.0869,295.0,POINT (-73.0869 -47.1378)
389,Lago Sarmiento,-51.0108,-72.7106,122.0,POINT (-72.7106 -51.0108)
1132,Huintil,-31.57331,-70.99815,591.0,POINT (-70.99815 -31.57331)
